date,btp_10y
2009-01-01,4.62
2009-02-01,4.54
2009-03-01,4.46
2009-04-01,4.36
2009-05-01,4.42
2009-06-01,4.61
2009-07-01,4.37
2009-08-01,4.12
2009-09-01,4.09
2009-10-01,4.1
2009-11-01,4.06
2009-12-01,4.01
2010-01-01,4.08
2010-02-01,4.05
2010-03-01,3.94
2010-04-01,4.0
2010-05-01,3.98
2010-06-01,4.1
2010-07-01,4.03
2010-08-01,3.8
2010-09-01,3.86
2010-10-01,3.8
2010-11-01,4.18
2010-12-01,4.6
2011-01-01,4.73
2011-02-01,4.74
2011-03-01,4.88
2011-04-01,4.84
2011-05-01,4.76
2011-06-01,4.82
2011-07-01,5.46
2011-08-01,5.27
2011-09-01,5.75
2011-10-01,5.97
2011-11-01,7.06
2011-12-01,6.81
2012-01-01,6.54
2012-02-01,5.55
2012-03-01,5.05
2012-04-01,5.68
2012-05-01,5.78
2012-06-01,5.9
2012-07-01,6.0
2012-08-01,5.82
2012-09-01,5.25
2012-10-01,4.95
2012-11-01,4.85
2012-12-01,4.54
2013-01-01,4.21
2013-02-01,4.49
2013-03-01,4.64
2013-04-01,4.28
2013-05-01,3.96
2013-06-01,4.38
2013-07-01,4.42
2013-08-01,4.42
2013-09-01,4.54
2013-10-01,4.25
2013-11-01,4.1
2013-12-01,4.11
2014-01-01,3.87
2014-02-01,3.65
2014-03-01,3.4
2014-04-01,3.23
2014-05-01,3.12
2014-06-01,2.92
2014-07-01,2.79
2014-08-01,2.63
2014-09-01,2.4
2014-10-01,2.42
2014-11-01,2.29
2014-12-01,1.99
2015-01-01,1.7
2015-02-01,1.56
2015-03-01,1.29
2015-04-01,1.36
2015-05-01,1.81
2015-06-01,2.2
2015-07-01,2.04
2015-08-01,1.84
2015-09-01,1.92
2015-10-01,1.7
2015-11-01,1.57
2015-12-01,1.58
2016-01-01,1.53
2016-02-01,1.56
2016-03-01,1.38
2016-04-01,1.44
2016-05-01,1.53
2016-06-01,1.45
2016-07-01,1.23
2016-08-01,1.18
2016-09-01,1.27
2016-10-01,1.45
2016-11-01,1.94
2016-12-01,1.89
2017-01-01,1.99
2017-02-01,2.35
2017-03-01,2.4
2017-04-01,2.26
2017-05-01,2.19
2017-06-01,2.05
2017-07-01,2.23
2017-08-01,2.11
2017-09-01,2.11
2017-10-01,2.07
2017-11-01,1.79
2017-12-01,1.8
2018-01-01,1.98
2018-02-01,2.08
2018-03-01,1.96
2018-04-01,1.77
2018-05-01,2.18
2018-06-01,2.74
2018-07-01,2.64
2018-08-01,3.16
2018-09-01,2.96
2018-10-01,3.47
2018-11-01,3.39
2018-12-01,2.98
2019-01-01,2.77
2019-02-01,2.81
2019-03-01,2.69
2019-04-01,2.62
2019-05-01,2.64
2019-06-01,2.28
2019-07-01,1.65
2019-08-01,1.4
2019-09-01,0.9
2019-10-01,1.0
2019-11-01,1.27
2019-12-01,1.37
2020-01-01,1.27
2020-02-01,0.96
2020-03-01,1.55
2020-04-01,1.8
2020-05-01,1.76
2020-06-01,1.46
2020-07-01,1.2
2020-08-01,1.03
2020-09-01,0.98
2020-10-01,0.77
2020-11-01,0.66
2020-12-01,0.58
2021-01-01,0.62
2021-02-01,0.59
2021-03-01,0.7
2021-04-01,0.8
2021-05-01,0.98
2021-06-01,0.88
2021-07-01,0.75
2021-08-01,0.63
2021-09-01,0.78
2021-10-01,0.96
2021-11-01,1.01
2021-12-01,1.05
2022-01-01,1.35
2022-02-01,1.79
2022-03-01,1.85
2022-04-01,2.44
2022-05-01,2.99
2022-06-01,3.64
2022-07-01,3.36
2022-08-01,3.3
2022-09-01,4.14
2022-10-01,4.53
2022-11-01,4.24
2022-12-01,4.26
2023-01-01,4.24
2023-02-01,4.27
2023-03-01,4.24
2023-04-01,4.23
2023-05-01,4.31
2023-06-01,4.07
2023-07-01,4.16
2023-08-01,4.22
2023-09-01,4.51
2023-10-01,4.88
2023-11-01,4.43
2023-12-01,3.82
2024-01-01,3.81
2024-02-01,3.87
2024-03-01,3.7
2024-04-01,3.86
2024-05-01,3.84
2024-06-01,3.94
2024-07-01,3.83
2024-08-01,3.68
2024-09-01,3.56
2024-10-01,3.5
2024-11-01,3.57
2024-12-01,3.32
2025-01-01,3.68
2025-02-01,3.58
2025-03-01,3.89
2025-04-01,3.71
2025-05-01,3.63
2025-06-01,3.5
2025-07-01,3.54
2025-08-01,3.54
2025-09-01,3.56
2025-10-01,3.44
2025-11-01,3.46
2025-12-01,3.55
2026-01-01,3.49
2026-02-01,3.39
