date,bund_10y
2009-01-01,3.07
2009-02-01,3.13
2009-03-01,3.02
2009-04-01,3.13
2009-05-01,3.37
2009-06-01,3.47
2009-07-01,3.34
2009-08-01,3.31
2009-09-01,3.26
2009-10-01,3.21
2009-11-01,3.22
2009-12-01,3.14
2010-01-01,3.26
2010-02-01,3.17
2010-03-01,3.1
2010-04-01,3.06
2010-05-01,2.73
2010-06-01,2.54
2010-07-01,2.62
2010-08-01,2.35
2010-09-01,2.3
2010-10-01,2.35
2010-11-01,2.53
2010-12-01,2.91
2011-01-01,3.02
2011-02-01,3.2
2011-03-01,3.21
2011-04-01,3.34
2011-05-01,3.06
2011-06-01,2.89
2011-07-01,2.74
2011-08-01,2.21
2011-09-01,1.83
2011-10-01,2.0
2011-11-01,1.87
2011-12-01,1.93
2012-01-01,1.82
2012-02-01,1.85
2012-03-01,1.83
2012-04-01,1.62
2012-05-01,1.34
2012-06-01,1.3
2012-07-01,1.24
2012-08-01,1.34
2012-09-01,1.49
2012-10-01,1.47
2012-11-01,1.34
2012-12-01,1.3
2013-01-01,1.51
2013-02-01,1.54
2013-03-01,1.35
2013-04-01,1.2
2013-05-01,1.29
2013-06-01,1.53
2013-07-01,1.57
2013-08-01,1.74
2013-09-01,1.89
2013-10-01,1.76
2013-11-01,1.68
2013-12-01,1.8
2014-01-01,1.76
2014-02-01,1.56
2014-03-01,1.51
2014-04-01,1.46
2014-05-01,1.33
2014-06-01,1.26
2014-07-01,1.11
2014-08-01,0.96
2014-09-01,0.92
2014-10-01,0.79
2014-11-01,0.72
2014-12-01,0.59
2015-01-01,0.39
2015-02-01,0.3
2015-03-01,0.23
2015-04-01,0.12
2015-05-01,0.56
2015-06-01,0.79
2015-07-01,0.71
2015-08-01,0.61
2015-09-01,0.65
2015-10-01,0.52
2015-11-01,0.52
2015-12-01,0.55
2016-01-01,0.43
2016-02-01,0.17
2016-03-01,0.17
2016-04-01,0.13
2016-05-01,0.13
2016-06-01,-0.02
2016-07-01,-0.15
2016-08-01,-0.13
2016-09-01,-0.08
2016-10-01,0.0
2016-11-01,0.19
2016-12-01,0.25
2017-01-01,0.25
2017-02-01,0.26
2017-03-01,0.35
2017-04-01,0.23
2017-05-01,0.34
2017-06-01,0.25
2017-07-01,0.46
2017-08-01,0.35
2017-09-01,0.35
2017-10-01,0.37
2017-11-01,0.31
2017-12-01,0.3
2018-01-01,0.47
2018-02-01,0.66
2018-03-01,0.53
2018-04-01,0.48
2018-05-01,0.45
2018-06-01,0.33
2018-07-01,0.27
2018-08-01,0.29
2018-09-01,0.37
2018-10-01,0.4
2018-11-01,0.31
2018-12-01,0.19
2019-01-01,0.13
2019-02-01,0.06
2019-03-01,0.01
2019-04-01,-0.04
2019-05-01,-0.13
2019-06-01,-0.32
2019-07-01,-0.39
2019-08-01,-0.65
2019-09-01,-0.59
2019-10-01,-0.47
2019-11-01,-0.35
2019-12-01,-0.3
2020-01-01,-0.31
2020-02-01,-0.47
2020-03-01,-0.54
2020-04-01,-0.45
2020-05-01,-0.52
2020-06-01,-0.43
2020-07-01,-0.52
2020-08-01,-0.52
2020-09-01,-0.52
2020-10-01,-0.61
2020-11-01,-0.61
2020-12-01,-0.62
2021-01-01,-0.58
2021-02-01,-0.45
2021-03-01,-0.36
2021-04-01,-0.32
2021-05-01,-0.22
2021-06-01,-0.29
2021-07-01,-0.45
2021-08-01,-0.54
2021-09-01,-0.36
2021-10-01,-0.2
2021-11-01,-0.31
2021-12-01,-0.38
2022-01-01,-0.11
2022-02-01,0.15
2022-03-01,0.28
2022-04-01,0.75
2022-05-01,0.95
2022-06-01,1.44
2022-07-01,1.08
2022-08-01,1.03
2022-09-01,1.8
2022-10-01,2.19
2022-11-01,2.07
2022-12-01,2.09
2023-01-01,2.19
2023-02-01,2.37
2023-03-01,2.38
2023-04-01,2.36
2023-05-01,2.34
2023-06-01,2.38
2023-07-01,2.46
2023-08-01,2.55
2023-09-01,2.66
2023-10-01,2.82
2023-11-01,2.6
2023-12-01,2.1
2024-01-01,2.17
2024-02-01,2.33
2024-03-01,2.35
2024-04-01,2.45
2024-05-01,2.52
2024-06-01,2.48
2024-07-01,2.46
2024-08-01,2.21
2024-09-01,2.17
2024-10-01,2.23
2024-11-01,2.31
2024-12-01,2.18
2025-01-01,2.48
2025-02-01,2.41
2025-03-01,2.74
2025-04-01,2.51
2025-05-01,2.56
2025-06-01,2.52
2025-07-01,2.63
2025-08-01,2.67
2025-09-01,2.69
2025-10-01,2.62
2025-11-01,2.66
2025-12-01,2.81
2026-01-01,2.81
2026-02-01,2.74
2026-03-01,2.91
