date,inflazione italia
2009-01-01,89.5
2009-02-01,89.7
2009-03-01,90.7
2009-04-01,91.3
2009-05-01,91.5
2009-06-01,91.7
2009-07-01,90.6
2009-08-01,90.8
2009-09-01,91.4
2009-10-01,91.8
2009-11-01,91.9
2009-12-01,92.0
2010-01-01,90.7
2010-02-01,90.6
2010-03-01,92.0
2010-04-01,92.9
2010-05-01,92.9
2010-06-01,93.0
2010-07-01,92.2
2010-08-01,92.3
2010-09-01,92.9
2010-10-01,93.6
2010-11-01,93.6
2010-12-01,93.9
2011-01-01,92.5
2011-02-01,92.6
2011-03-01,94.6
2011-04-01,95.6
2011-05-01,95.7
2011-06-01,95.8
2011-07-01,94.1
2011-08-01,94.4
2011-09-01,96.3
2011-10-01,97.1
2011-11-01,97.1
2011-12-01,97.4
2012-01-01,95.6
2012-02-01,95.8
2012-03-01,98.2
2012-04-01,99.1
2012-05-01,99.1
2012-06-01,99.3
2012-07-01,97.5
2012-08-01,97.6
2012-09-01,99.6
2012-10-01,99.8
2012-11-01,99.6
2012-12-01,99.9
2013-01-01,97.9
2013-02-01,97.7
2013-03-01,100.0
2013-04-01,100.3
2013-05-01,100.3
2013-06-01,100.5
2013-07-01,98.7
2013-08-01,98.7
2013-09-01,100.5
2013-10-01,100.5
2013-11-01,100.2
2013-12-01,100.5
2014-01-01,98.5
2014-02-01,98.1
2014-03-01,100.3
2014-04-01,100.8
2014-05-01,100.7
2014-06-01,100.8
2014-07-01,98.7
2014-08-01,98.6
2014-09-01,100.4
2014-10-01,100.7
2014-11-01,100.5
2014-12-01,100.5
2015-01-01,98.0
2015-02-01,98.2
2015-03-01,100.3
2015-04-01,100.7
2015-05-01,100.9
2015-06-01,101.0
2015-07-01,99.1
2015-08-01,98.9
2015-09-01,100.6
2015-10-01,101.0
2015-11-01,100.6
2015-12-01,100.6
2016-01-01,98.4
2016-02-01,98.0
2016-03-01,100.1
2016-04-01,100.3
2016-05-01,100.6
2016-06-01,100.8
2016-07-01,98.9
2016-08-01,98.8
2016-09-01,100.7
2016-10-01,100.9
2016-11-01,100.7
2016-12-01,101.1
2017-01-01,99.4
2017-02-01,99.6
2017-03-01,101.5
2017-04-01,102.3
2017-05-01,102.2
2017-06-01,102.0
2017-07-01,100.1
2017-08-01,100.2
2017-09-01,102.0
2017-10-01,102.0
2017-11-01,101.8
2017-12-01,102.1
2018-01-01,100.6
2018-02-01,100.1
2018-03-01,102.4
2018-04-01,102.9
2018-05-01,103.2
2018-06-01,103.4
2018-07-01,102.0
2018-08-01,101.8
2018-09-01,103.5
2018-10-01,103.7
2018-11-01,103.4
2018-12-01,103.3
2019-01-01,101.5
2019-02-01,101.2
2019-03-01,103.5
2019-04-01,104.0
2019-05-01,104.1
2019-06-01,104.2
2019-07-01,102.3
2019-08-01,102.3
2019-09-01,103.7
2019-10-01,103.9
2019-11-01,103.6
2019-12-01,103.8
2020-01-01,101.9
2020-02-01,101.4
2020-03-01,103.6
2020-04-01,104.1
2020-05-01,103.8
2020-06-01,103.8
2020-07-01,103.1
2020-08-01,101.8
2020-09-01,102.7
2020-10-01,103.3
2020-11-01,103.3
2020-12-01,103.5
2021-01-01,102.6
2021-02-01,102.4
2021-03-01,104.2
2021-04-01,105.1
2021-05-01,105.0
2021-06-01,105.2
2021-07-01,104.1
2021-08-01,104.3
2021-09-01,105.7
2021-10-01,106.6
2021-11-01,107.3
2021-12-01,107.8
2022-01-01,107.8
2022-02-01,108.7
2022-03-01,111.3
2022-04-01,111.7
2022-05-01,112.7
2022-06-01,114.1
2022-07-01,112.8
2022-08-01,113.8
2022-09-01,115.6
2022-10-01,120.0
2022-11-01,120.8
2022-12-01,121.1
2023-01-01,119.3
2023-02-01,119.4
2023-03-01,120.3
2023-04-01,121.3
2023-05-01,121.7
2023-06-01,121.8
2023-07-01,119.9
2023-08-01,120.1
2023-09-01,122.1
2023-10-01,122.2
2023-11-01,121.5
2023-12-01,121.7
2024-01-01,120.4
2024-02-01,120.4
2024-03-01,121.8
2024-04-01,122.4
2024-05-01,122.7
2024-06-01,122.9
2024-07-01,121.8
2024-08-01,121.6
2024-09-01,123.0
2024-10-01,123.4
2024-11-01,123.3
2024-12-01,123.4
2025-01-01,122.4
2025-02-01,122.5
2025-03-01,124.4
2025-04-01,124.9
2025-05-01,124.8
2025-06-01,125.1
2025-07-01,123.9
2025-08-01,123.6
2025-09-01,125.2
2025-10-01,125.0
2025-11-01,124.7
2025-12-01,124.9
