date,pil eurozona
2009-01-01,2343564.9
2009-04-01,2343599.4
2009-07-01,2352157.4
2009-10-01,2362523.2
2010-01-01,2371924.0
2010-04-01,2394251.9
2010-07-01,2404776.7
2010-10-01,2419238.0
2011-01-01,2442384.2
2011-04-01,2442019.0
2011-07-01,2442508.0
2011-10-01,2435149.2
2012-01-01,2429321.4
2012-04-01,2420620.5
2012-07-01,2417396.6
2012-10-01,2407003.5
2013-01-01,2398983.8
2013-04-01,2414712.8
2013-07-01,2421940.3
2013-10-01,2427059.6
2014-01-01,2438561.3
2014-04-01,2444243.2
2014-07-01,2456234.5
2014-10-01,2465429.0
2015-01-01,2484005.5
2015-04-01,2494469.7
2015-07-01,2505070.3
2015-10-01,2517594.2
2016-01-01,2529319.9
2016-04-01,2534282.1
2016-07-01,2546484.2
2016-10-01,2565944.3
2017-01-01,2586665.9
2017-04-01,2603846.0
2017-07-01,2622871.1
2017-10-01,2644289.1
2018-01-01,2645344.1
2018-04-01,2658721.7
2018-07-01,2660736.5
2018-10-01,2675146.9
2019-01-01,2694300.3
2019-04-01,2704012.4
2019-07-01,2709163.7
2019-10-01,2706397.6
2020-01-01,2618347.1
2020-04-01,2327598.0
2020-07-01,2596966.6
2020-10-01,2605657.7
2021-01-01,2625773.7
2021-04-01,2682820.6
2021-07-01,2729901.5
2021-10-01,2751638.4
2022-01-01,2771936.8
2022-04-01,2797523.0
2022-07-01,2810181.8
2022-10-01,2808699.8
2023-01-01,2807720.3
2023-04-01,2812552.8
2023-07-01,2812405.2
2023-10-01,2814279.6
2024-01-01,2822404.3
2024-04-01,2827902.5
2024-07-01,2840341.3
2024-10-01,2851202.6
2025-01-01,2868130.8
2025-04-01,2872132.8
2025-07-01,2880708.1
2025-10-01,2886252.2
