date,eurostoxx50
2009-01-05,2553.41
2009-01-06,2578.43
2009-01-07,2538.55
2009-01-08,2516.56
2009-01-09,2486.59
2009-01-12,2451.87
2009-01-13,2411.28
2009-01-14,2298.46
2009-01-15,2257.67
2009-01-16,2281.45
2009-01-19,2252.39
2009-01-20,2200.8
2009-01-21,2188.43
2009-01-22,2160.07
2009-01-23,2147.87
2009-01-26,2226.77
2009-01-27,2224.62
2009-01-28,2322.78
2009-01-29,2269.4
2009-01-30,2236.98
2009-02-02,2198.74
2009-02-03,2244.89
2009-02-04,2297.73
2009-02-05,2293.23
2009-02-06,2343.66
2009-02-09,2348.95
2009-02-10,2268.15
2009-02-11,2267.9
2009-02-12,2214.95
2009-02-13,2228.29
2009-02-17,2119.98
2009-02-18,2118.47
2009-02-19,2114.84
2009-02-20,2011.68
2009-02-23,1991.63
2009-02-24,1977.5
2009-02-25,1965.26
2009-02-26,2021.14
2009-02-27,1976.23
2009-03-02,1882.79
2009-03-03,1864.73
2009-03-04,1943.46
2009-03-05,1852.25
2009-03-06,1817.24
2009-03-09,1809.98
2009-03-10,1919.53
2009-03-11,1932.79
2009-03-12,1962.64
2009-03-13,1969.52
2009-03-16,2033.72
2009-03-17,2012.25
2009-03-18,2019.19
2009-03-19,2039.58
2009-03-20,2050.96
2009-03-23,2121.72
2009-03-24,2127.37
2009-03-25,2149.18
2009-03-26,2156.97
2009-03-27,2118.76
2009-03-30,2010.61
2009-03-31,2071.13
2009-04-01,2097.57
2009-04-02,2216.49
2009-04-03,2198.75
2009-04-06,2179.73
2009-04-07,2165.56
2009-04-08,2186.79
2009-04-09,2247.89
2009-04-14,2278.65
2009-04-15,2262.96
2009-04-16,2300.51
2009-04-17,2341.15
2009-04-20,2249.44
2009-04-21,2243.63
2009-04-22,2285.69
2009-04-23,2259.54
2009-04-24,2319.89
2009-04-27,2317.36
2009-04-28,2280.52
2009-04-29,2334.59
2009-04-30,2375.34
2009-05-04,2419.53
2009-05-05,2407.55
2009-05-06,2437.27
2009-05-07,2406.08
2009-05-08,2462.39
2009-05-11,2433.59
2009-05-12,2424.34
2009-05-13,2357.3
2009-05-14,2353.53
2009-05-15,2364.1
2009-05-18,2422.74
2009-05-19,2459.59
2009-05-20,2487.17
2009-05-22,2433.52
2009-05-25,2440.23
2009-05-26,2468.45
2009-05-27,2479.48
2009-05-28,2453.15
2009-05-29,2451.24
2009-06-02,2534.17
2009-06-03,2483.39
2009-06-04,2487.08
2009-06-05,2503.17
2009-06-08,2468.37
2009-06-09,2479.38
2009-06-10,2500.94
2009-06-11,2522.33
2009-06-12,2509.22
2009-06-15,2431.4
2009-06-16,2425.97
2009-06-17,2383.71
2009-06-18,2414.44
2009-06-19,2434.77
2009-06-22,2359.28
2009-06-23,2353.48
2009-06-24,2418.46
2009-06-25,2402.32
2009-06-26,2389.91
2009-06-29,2437.72
2009-06-30,2401.69
2009-07-01,2449.73
2009-07-02,2369.65
2009-07-03,2376.48
2009-07-06,2343.88
2009-07-07,2320.9
2009-07-08,2291.33
2009-07-09,2313.87
2009-07-10,2281.47
2009-07-13,2345.22
2009-07-14,2370.71
2009-07-15,2451.02
2009-07-16,2458.97
2009-07-17,2469.2
2009-07-20,2500.69
2009-07-21,2519.99
2009-07-22,2528.85
2009-07-23,2585.79
2009-07-24,2582.76
2009-07-27,2601.41
2009-07-28,2573.08
2009-07-29,2600.31
2009-07-30,2654.74
2009-07-31,2638.13
2009-08-03,2674.07
2009-08-04,2670.96
2009-08-05,2643.13
2009-08-06,2662.01
2009-08-07,2706.22
2009-08-10,2693.61
2009-08-11,2650.94
2009-08-12,2688.21
2009-08-13,2705.74
2009-08-14,2669.41
2009-08-17,2603.79
2009-08-18,2630.6
2009-08-19,2622.88
2009-08-20,2663.67
2009-08-21,2745.62
2009-08-24,2778.34
2009-08-25,2801.14
2009-08-26,2788.9
2009-08-27,2777.62
2009-08-28,2803.65
2009-08-31,2770.11
2009-09-01,2715.74
2009-09-02,2703.76
2009-09-03,2699.22
2009-09-04,2743.34
2009-09-08,2786.25
2009-09-09,2820.58
2009-09-10,2817.5
2009-09-11,2831.37
2009-09-14,2829.25
2009-09-15,2843.0
2009-09-16,2882.28
2009-09-17,2895.45
2009-09-18,2887.24
2009-09-21,2872.51
2009-09-22,2881.6
2009-09-23,2887.24
2009-09-24,2838.22
2009-09-25,2831.95
2009-09-28,2899.12
2009-09-29,2892.44
2009-09-30,2872.63
2009-10-01,2810.46
2009-10-02,2760.6
2009-10-05,2790.78
2009-10-06,2865.7
2009-10-07,2852.17
2009-10-08,2887.61
2009-10-09,2882.18
2009-10-12,2914.35
2009-10-13,2879.06
2009-10-14,2950.82
2009-10-15,2939.09
2009-10-16,2893.53
2009-10-19,2947.41
2009-10-20,2925.08
2009-10-21,2936.83
2009-10-22,2902.19
2009-10-23,2886.08
2009-10-26,2834.82
2009-10-27,2835.17
2009-10-28,2778.46
2009-10-29,2824.78
2009-10-30,2743.5
2009-11-02,2762.95
2009-11-03,2712.3
2009-11-04,2763.29
2009-11-05,2793.44
2009-11-06,2794.25
2009-11-09,2860.11
2009-11-10,2856.44
2009-11-11,2881.01
2009-11-12,2876.92
2009-11-13,2883.04
2009-11-16,2926.15
2009-11-17,2906.92
2009-11-18,2908.53
2009-11-19,2860.29
2009-11-20,2833.06
2009-11-23,2898.19
2009-11-24,2877.58
2009-11-25,2896.9
2009-11-26,2799.44
2009-11-27,2831.14
2009-11-30,2797.25
2009-12-01,2871.75
2009-12-02,2877.94
2009-12-03,2876.14
2009-12-04,2910.33
2009-12-07,2896.23
2009-12-08,2849.17
2009-12-09,2818.1
2009-12-10,2851.29
2009-12-11,2862.32
2009-12-14,2885.0
2009-12-15,2888.58
2009-12-16,2926.52
2009-12-17,2891.66
2009-12-18,2871.22
2009-12-21,2926.05
2009-12-22,2945.71
2009-12-23,2957.48
2009-12-24,2957.48
2009-12-28,2982.42
2009-12-29,2992.08
2009-12-30,2966.24
2009-12-31,2966.24
2010-01-04,3017.8
2010-01-05,3012.36
2010-01-06,3009.66
2010-01-07,3007.34
2010-01-08,3017.85
2010-01-11,3010.24
2010-01-12,2976.89
2010-01-13,2978.41
2010-01-14,2989.71
2010-01-15,2940.25
2010-01-18,2957.87
2010-01-19,2984.82
2010-01-20,2914.6
2010-01-21,2863.25
2010-01-22,2836.8
