,0
2009-01-01,3.070952381
2009-02-01,3.1275
2009-03-01,3.0195454545
2009-04-01,3.133
2009-05-01,3.371
2009-06-01,3.4736363636
2009-07-01,3.337826087
2009-08-01,3.3052380952
2009-09-01,3.2631818182
2009-10-01,3.2090909091
2009-11-01,3.2171428571
2009-12-01,3.1385
2010-01-01,3.2575
2010-02-01,3.17
2010-03-01,3.102173913
2010-04-01,3.0645
2010-05-01,2.7342857143
2010-06-01,2.5431818182
2010-07-01,2.6159090909
2010-08-01,2.35
2010-09-01,2.3004545455
2010-10-01,2.3457142857
2010-11-01,2.5327272727
2010-12-01,2.9147619048
2011-01-01,3.0166666667
2011-02-01,3.199
2011-03-01,3.2117391304
2011-04-01,3.3405263158
2011-05-01,3.0609090909
2011-06-01,2.8909090909
2011-07-01,2.7438095238
2011-08-01,2.2134782609
2011-09-01,1.8290909091
2011-10-01,2.0023809524
2011-11-01,1.8740909091
2011-12-01,1.9276190476
2012-01-01,1.8209090909
2012-02-01,1.8519047619
2012-03-01,1.8304545455
2012-04-01,1.6242105263
2012-05-01,1.3368181818
2012-06-01,1.3004761905
2012-07-01,1.2422727273
2012-08-01,1.3417391304
2012-09-01,1.4905
2012-10-01,1.4669565217
2012-11-01,1.3359090909
2012-12-01,1.2994117647
2013-01-01,1.5122727273
2013-02-01,1.5435
2013-03-01,1.3545
2013-04-01,1.1961904762
2013-05-01,1.2940909091
2013-06-01,1.5305
2013-07-01,1.5656521739
2013-08-01,1.735
2013-09-01,1.8880952381
2013-10-01,1.762173913
2013-11-01,1.6771428571
2013-12-01,1.7977777778
2014-01-01,1.7559090909
2014-02-01,1.5585
2014-03-01,1.5085714286
2014-04-01,1.4565
2014-05-01,1.3271428571
2014-06-01,1.2642857143
2014-07-01,1.1143478261
2014-08-01,0.9561904762
2014-09-01,0.9213636364
2014-10-01,0.7909090909
2014-11-01,0.719
2014-12-01,0.5889473684
2015-01-01,0.39
2015-02-01,0.302
2015-03-01,0.2272727273
2015-04-01,0.122
2015-05-01,0.5557894737
2015-06-01,0.7927272727
2015-07-01,0.71
2015-08-01,0.6085714286
2015-09-01,0.6540909091
2015-10-01,0.5181818182
2015-11-01,0.5161904762
2015-12-01,0.5455
2016-01-01,0.4305
2016-02-01,0.1728571429
2016-03-01,0.1714285714
2016-04-01,0.1342857143
2016-05-01,0.1328571429
2016-06-01,-0.0168181818
2016-07-01,-0.1542857143
2016-08-01,-0.1317391304
2016-09-01,-0.0840909091
2016-10-01,0.002
2016-11-01,0.1890909091
2016-12-01,0.2519047619
2017-01-01,0.2509090909
2017-02-01,0.258
2017-03-01,0.3482608696
2017-04-01,0.2255555556
2017-05-01,0.3363636364
2017-06-01,0.2504761905
2017-07-01,0.4557142857
2017-08-01,0.3460869565
2017-09-01,0.3471428571
2017-10-01,0.3725
2017-11-01,0.3081818182
2017-12-01,0.2968421053
2018-01-01,0.4745454545
2018-02-01,0.659
2018-03-01,0.5295238095
2018-04-01,0.48
2018-05-01,0.45
2018-06-01,0.3271428571
2018-07-01,0.2745454545
2018-08-01,0.2908695652
2018-09-01,0.3705
2018-10-01,0.3990909091
2018-11-01,0.3140909091
2018-12-01,0.1870588235
2019-01-01,0.1327272727
2019-02-01,0.0555
2019-03-01,0.010952381
2019-04-01,-0.0395
2019-05-01,-0.1345454545
2019-06-01,-0.3152631579
2019-07-01,-0.3882608696
2019-08-01,-0.6490909091
