,0
2009-01-01,9400007134980.57
2009-02-01,9414394920900.69
2009-03-01,9406751060249.67
2009-04-01,9490158991527.7
2009-05-01,9462892580607.73
2009-06-01,9457502814027.4
2009-07-01,9420891186708.74
2009-08-01,9379996670922.479
2009-09-01,9378228281239.97
2009-10-01,9362115540188.56
2009-11-01,9341007991888.941
2009-12-01,9382248944952.66
2010-01-01,9326163985282.53
2010-02-01,9303401143429.32
2010-03-01,9313183123851.19
2010-04-01,9399886177512.0
2010-05-01,9427101080496.74
2010-06-01,9256526269585.82
2010-07-01,9242775555190.398
2010-08-01,9251623357447.7
2010-09-01,9248048233003.63
2010-10-01,9257330844659.08
2010-11-01,9270086634214.24
2010-12-01,9320772348477.81
2011-01-01,9309189004747.39
2011-02-01,9298648273980.62
2011-03-01,9328842005879.05
2011-04-01,9391506784815.24
2011-05-01,9391993627770.38
2011-06-01,9404390886674.29
2011-07-01,9405853095530.33
2011-08-01,9446140194129.69
2011-09-01,9465968735013.05
2011-10-01,9436921150446.16
2011-11-01,9448343294030.23
2011-12-01,9535046828092.111
2012-01-01,9495264631049.79
2012-02-01,9505535434178.34
2012-03-01,9605842976376.139
2012-04-01,9608369558217.72
2012-05-01,9646447879938.62
2012-06-01,9683131752806.05
2012-07-01,9712259452921.11
2012-08-01,9687649388269.97
2012-09-01,9700182284950.29
2012-10-01,9754761431716.73
2012-11-01,9759439116939.46
2012-12-01,9807967674629.99
2013-01-01,9747376286749.37
2013-02-01,9754427901499.799
2013-03-01,9803283093584.82
2013-04-01,9852611395125.398
2013-05-01,9854519191316.75
2013-06-01,9846648645039.65
2013-07-01,9838325008178.97
2013-08-01,9882186638354.49
2013-09-01,9843987214400.92
2013-10-01,9857474170880.371
2013-11-01,9885411688920.49
2013-12-01,9849472945849.44
2014-01-01,9852348836664.459
2014-02-01,9864752775173.35
2014-03-01,9878637875640.158
2014-04-01,9900283572461.02
2014-05-01,9970853161627.94
2014-06-01,9986859838962.5
2014-07-01,10017900066173.3
2014-08-01,10068184224111.5
2014-09-01,10077045337769.6
2014-10-01,10103037057301.1
2014-11-01,10196211324550.5
2014-12-01,10328136336826.2
2015-01-01,10395762152358.2
2015-02-01,10417313903434.4
2015-03-01,10460794739634.9
2015-04-01,10561863816436.5
2015-05-01,10598222647099.6
2015-06-01,10598577520634.1
2015-07-01,10673490166304.5
2015-08-01,10671134935386.9
2015-09-01,10666494044239.2
2015-10-01,10773953227600.299
2015-11-01,10838724140487.3
2015-12-01,10837680042533.701
2016-01-01,10904555298515.799
2016-02-01,10939096984627.1
2016-03-01,10965213618790.5
2016-04-01,11066330142240.3
2016-05-01,11105871037376.5
2016-06-01,11128073569048.7
2016-07-01,11220929109354.6
2016-08-01,11210074199263.0
2016-09-01,11213392924593.0
2016-10-01,11244902152718.7
2016-11-01,11340472662840.602
2016-12-01,11392602784359.3
2017-01-01,11417625043537.701
2017-02-01,11452748226186.201
2017-03-01,11556325581463.9
2017-04-01,11604768342429.201
2017-05-01,11621792162471.9
2017-06-01,11660113876394.2
2017-07-01,11696755842105.0
2017-08-01,11752142234169.0
2017-09-01,11766083114808.2
2017-10-01,11788559148738.201
2017-11-01,11857378097307.0
2017-12-01,11877247769567.3
2018-01-01,11872112099801.398
2018-02-01,11869182714602.3
2018-03-01,11934990235227.4
2018-04-01,11994585261620.0
2018-05-01,12078228488877.5
2018-06-01,12176780060728.0
2018-07-01,12168427691578.6
2018-08-01,12176185383710.799
2018-09-01,12196129504533.7
2018-10-01,12235319222202.102
2018-11-01,12321385872178.1
2018-12-01,12373338743689.799
2019-01-01,12363551794833.7
2019-02-01,12403044666954.3
2019-03-01,12533081126732.701
2019-04-01,12605604946998.5
2019-05-01,12685735063182.6
2019-06-01,12754322923295.8
2019-07-01,12810658841655.0
2019-08-01,12924230661112.9
2019-09-01,12894267253392.8
2019-10-01,12947687664502.4
2019-11-01,13048718025241.0
2019-12-01,13002318679609.9
2020-01-01,13016465964601.1
2020-02-01,13108025457055.898
2020-03-01,13457108260833.3
2020-04-01,13631384504206.4
2020-05-01,13841790291633.701
2020-06-01,13924721947417.0
2020-07-01,14024414572672.3
2020-08-01,14040950368126.1
2020-09-01,14126058599642.4
2020-10-01,14247562986397.5
2020-11-01,14370474196005.2
2020-12-01,14503850822295.4
2021-01-01,14574683116144.8
2021-02-01,14634655142564.799
2021-03-01,14716194691329.1
2021-04-01,14799075815323.9
2021-05-01,14908356778405.398
2021-06-01,14997804841973.0
2021-07-01,15168027723300.5
2021-08-01,15208831197576.799
2021-09-01,15233873632215.4
2021-10-01,15366674123104.9
2021-11-01,15451854167961.799
2021-12-01,15543289254163.299
2022-01-01,15545254399332.4
2022-02-01,15584630589101.7
2022-03-01,15683589023091.2
2022-04-01,15810457862955.2
2022-05-01,15855668671416.1
2022-06-01,15942298255732.7
2022-07-01,16065719455634.701
2022-08-01,16136984668438.9
2022-09-01,16179932773888.6
2022-10-01,16099979588364.0
2022-11-01,16151390622694.0
2022-12-01,16132083505673.2
2023-01-01,16043216542810.2
2023-02-01,16008829360927.0
2023-03-01,16012949000203.8
2023-04-01,16006551829803.9
2023-05-01,15989828801737.0
2023-06-01,15989459483149.7
2023-07-01,15984418333573.1
2023-08-01,15946698016774.9
2023-09-01,16000632522201.9
2023-10-01,15956018602915.299
2023-11-01,16025573773633.299
