,0
2009-01-01,399046.4
2009-04-01,396905.8
2009-07-01,398239.1
2009-10-01,399306.7
2010-01-01,400834.8
2010-04-01,403543.4
2010-07-01,404616.1
2010-10-01,408088.9
2011-01-01,410401.4
2011-04-01,409423.2
2011-07-01,407552.0
2011-10-01,403564.4
2012-01-01,399358.6
2012-04-01,396024.6
2012-07-01,393397.5
2012-10-01,390377.0
2013-01-01,387141.9
2013-04-01,387051.2
2013-07-01,388345.2
2013-10-01,387774.0
2014-01-01,387934.5
2014-04-01,388035.5
2014-07-01,388066.4
2014-10-01,387442.7
2015-01-01,388996.5
2015-04-01,390668.4
2015-07-01,390796.0
2015-10-01,392586.3
2016-01-01,393394.9
2016-04-01,394668.8
2016-07-01,397368.8
2016-10-01,398786.6
2017-01-01,400716.0
2017-04-01,402430.6
2017-07-01,402741.6
2017-10-01,405134.7
2018-01-01,404551.1
2018-04-01,405679.9
2018-07-01,405321.4
2018-10-01,406449.1
2019-01-01,407362.3
2019-04-01,408975.6
2019-07-01,406760.1
2019-10-01,405689.7
2020-01-01,382582.5
2020-04-01,334810.7
2020-07-01,382269.0
2020-10-01,383315.8
2021-01-01,389642.4
2021-04-01,399491.4
2021-07-01,408887.4
2021-10-01,415506.5
2022-01-01,418612.7
2022-04-01,425047.5
2022-07-01,425590.6
2022-10-01,424540.0
2023-01-01,427256.0
2023-04-01,427270.7
2023-07-01,427562.4
2023-10-01,428968.7
2024-01-01,429511.5
2024-04-01,430374.2
2024-07-01,430351.8
2024-10-01,430853.3
2025-01-01,432327.1
2025-04-01,432379.1
2025-07-01,433341.8
2025-10-01,434462.6
