date,btp_10y_lag1,btp_10y_lag3,btp_10y_lag6,bund_10y_lag1,bund_10y_lag3,bund_10y_lag6,disoccupazione_eurozona_lag1,disoccupazione_eurozona_lag3,disoccupazione_eurozona_lag6,disoccupazione_italia_lag1,disoccupazione_italia_lag3,disoccupazione_italia_lag6,inflazione eurozona_lag1,inflazione eurozona_lag3,inflazione eurozona_lag6,inflazione italia_lag1,inflazione italia_lag3,inflazione italia_lag6,m3_eurozona_lag1,m3_eurozona_lag3,m3_eurozona_lag6,pil eurozona_lag1,pil eurozona_lag3,pil eurozona_lag6,pil_italia_lag1,pil_italia_lag3,pil_italia_lag6,tasso_bce_lag1,tasso_bce_lag3,tasso_bce_lag6,eurostoxx50_lag1,eurostoxx50_lag3,eurostoxx50_lag6,eurusd_lag1,eurusd_lag3,eurusd_lag6,ftse_mib_lag1,ftse_mib_lag3,ftse_mib_lag6,spread_lag1,spread_lag3,spread_lag6
2010-07-01,4.1,4.0,4.08,2.54,3.06,3.26,0.0,0.0,0.0,-0.02298850574712641,0.03529411764705892,0.0117647058823529,0.0,0.37999999999999545,-0.75,0.09999999999999432,0.9000000000000057,-1.2999999999999972,-170574810910.91992,86703053660.81055,-56084959670.13086,0.02161312210610733,0.02161312210610733,0.012100838342475662,0.0167233635789652,0.0167233635789652,0.0044816843354555935,0.0,0.0,0.0,2573.32,2816.86,2776.83,1.22,1.33,1.39,19312.0,21563.0,21896.0,1.5599999999999996,0.94,0.8200000000000003
2010-08-01,4.03,3.98,4.05,2.62,2.73,3.17,-0.009708737864077777,0.0,0.009803921568627638,0.0,-0.011363636363636576,0.011627906976744207,-0.3999999999999915,0.10999999999999943,0.28999999999999204,-0.7999999999999972,0.0,-0.10000000000000853,-13750714395.419922,27214902984.740234,-22762841853.208984,0.022370654276792967,0.02161312210610733,0.012100838342475662,0.016012993199311598,0.0167233635789652,0.0044816843354555935,0.0,0.0,0.0,2742.14,2610.26,2728.47,1.3,1.23,1.36,21022.0,19544.0,21068.0,1.4100000000000001,1.25,0.8799999999999999
2010-09-01,3.8,4.1,3.94,2.35,2.54,3.1,0.0,0.0,0.0,-0.0235294117647058,-0.02298850574712641,-0.02298850574712641,0.1799999999999926,0.0,1.0100000000000051,0.09999999999999432,0.09999999999999432,1.4000000000000057,8847802257.298828,-170574810910.91992,9781980421.86914,0.022370654276792967,0.02161312210610733,0.012100838342475662,0.016012993199311598,0.0167233635789652,0.0044816843354555935,0.0,0.0,0.0,2622.95,2573.32,2931.16,1.27,1.22,1.35,19735.0,19312.0,22848.0,1.4499999999999997,1.5599999999999996,0.8399999999999999
2010-10-01,3.86,4.03,4.0,2.3,2.62,3.06,0.0,-0.009708737864077777,0.0,0.012048192771084265,0.0,0.03529411764705892,0.29000000000000625,-0.3999999999999915,0.37999999999999545,0.6000000000000085,-0.7999999999999972,0.9000000000000057,-3575124444.0683594,-13750714395.419922,86703053660.81055,0.022370654276792967,0.022370654276792967,0.02161312210610733,0.016012993199311598,0.016012993199311598,0.0167233635789652,0.0,0.0,0.0,2747.9,2742.14,2816.86,1.36,1.3,1.33,20505.0,21022.0,21563.0,1.56,1.4100000000000001,0.94
2010-11-01,3.8,3.8,3.98,2.35,2.35,2.73,0.009803921568627638,0.0,0.0,0.023809523809523725,-0.0235294117647058,-0.011363636363636576,0.28999999999999204,0.1799999999999926,0.10999999999999943,0.6999999999999886,0.09999999999999432,0.0,9282611655.449219,8847802257.298828,27214902984.740234,0.024006028808521318,0.022370654276792967,0.02161312210610733,0.02199362044263231,0.016012993199311598,0.0167233635789652,0.0,0.0,0.0,2844.99,2622.95,2610.26,1.38,1.27,1.23,21451.0,19735.0,19544.0,1.4499999999999997,1.4499999999999997,1.25
2010-12-01,4.18,3.86,4.1,2.53,2.3,2.54,-0.009708737864077777,0.0,0.0,-0.023255813953488302,0.012048192771084265,-0.02298850574712641,0.0800000000000125,0.29000000000000625,0.0,0.0,0.6000000000000085,0.09999999999999432,12755789555.160156,-3575124444.0683594,-170574810910.91992,0.024006028808521318,0.022370654276792967,0.02161312210610733,0.02199362044263231,0.016012993199311598,0.0167233635789652,0.0,0.0,0.0,2650.99,2747.9,2573.32,1.31,1.36,1.22,19106.0,20505.0,19312.0,1.65,1.56,1.5599999999999996
2011-01-01,4.6,3.8,4.03,2.91,2.35,2.62,0.0,0.009803921568627638,-0.009708737864077777,-0.023809523809523947,0.023809523809523725,0.0,0.5699999999999932,0.28999999999999204,-0.3999999999999915,0.30000000000001137,0.6999999999999886,-0.7999999999999972,50685714263.57031,9282611655.449219,-13750714395.419922,0.024006028808521318,0.024006028808521318,0.022370654276792967,0.02199362044263231,0.02199362044263231,0.016012993199311598,0.0,0.0,0.0,2807.04,2844.99,2742.14,1.33,1.38,1.3,20173.0,21451.0,21022.0,1.6899999999999995,1.4499999999999997,1.4100000000000001
2011-02-01,4.73,4.18,3.8,3.02,2.53,2.35,0.0,-0.009708737864077777,0.0,0.0,-0.023255813953488302,-0.0235294117647058,-0.6700000000000017,0.0800000000000125,0.1799999999999926,-1.4000000000000057,0.0,0.09999999999999432,-11583343730.419922,12755789555.160156,8847802257.298828,0.029705926496801816,0.024006028808521318,0.022370654276792967,0.023866690217516195,0.02199362044263231,0.016012993199311598,0.0,0.0,0.0,2953.63,2650.99,2622.95,1.36,1.31,1.27,22050.0,19106.0,19735.0,1.7100000000000004,1.65,1.4499999999999997
2011-03-01,4.74,4.6,3.86,3.2,2.91,2.3,-0.009803921568627416,0.0,0.0,-0.012195121951219523,-0.023809523809523947,0.012048192771084265,0.39000000000000057,0.5699999999999932,0.29000000000000625,0.09999999999999432,0.30000000000001137,0.6000000000000085,-10540730766.771484,50685714263.57031,-3575124444.0683594,0.029705926496801816,0.024006028808521318,0.022370654276792967,0.023866690217516195,0.02199362044263231,0.016012993199311598,0.0,0.0,0.0,3013.09,2807.04,2747.9,1.37,1.33,1.36,22467.0,20173.0,20505.0,1.54,1.6899999999999995,1.56
2011-04-01,4.88,4.73,3.8,3.21,3.02,2.35,0.0,0.0,0.009803921568627638,0.0,0.0,0.023809523809523725,1.269999999999996,-0.6700000000000017,0.28999999999999204,2.0,-1.4000000000000057,0.6999999999999886,30193731898.43164,-11583343730.419922,9282611655.449219,0.029705926496801816,0.029705926496801816,0.024006028808521318,0.023866690217516195,0.023866690217516195,0.02199362044263231,0.0,0.0,0.0,2910.91,2953.63,2844.99,1.41,1.36,1.38,21727.0,22050.0,21451.0,1.67,1.7100000000000004,1.4499999999999997
2011-05-01,4.84,4.74,4.18,3.34,3.2,2.53,-0.00990099009900991,-0.009803921568627416,-0.009708737864077777,-0.012345679012345623,-0.012195121951219523,-0.023255813953488302,0.5400000000000063,0.39000000000000057,0.0800000000000125,1.0,0.09999999999999432,0.0,62664778936.18945,-10540730766.771484,12755789555.160156,0.0199507411897637,0.029705926496801816,0.024006028808521318,0.014570427864760038,0.023866690217516195,0.02199362044263231,0.25,0.0,0.0,3011.25,3013.09,2650.99,1.48,1.37,1.31,22418.0,22467.0,19106.0,1.5,1.54,1.65
