,brent,btp_10y,bund_10y,disoccupazione_eurozona,disoccupazione_italia,inflazione_eurozona,inflazione_italia,m3_eurozona,pil_eurozona,pil_italia,tasso_bce,vix
brent,,0.4709988139070184,0.009248794470523344,0.00017939875041192194,0.00010577553267367426,0.005912741150126247,0.11067463742346309,0.304028411340503,2.213063350691823e-05,4.764406299482242e-06,0.35124650630507,0.13016462272244136
btp_10y,0.6289856698757534,,0.32631009497041963,0.0009653761458370963,0.02724023441996826,0.03131722938411859,0.0005297623256251505,5.284884514840362e-06,0.21258712244955202,0.12863650566590448,0.0030055254976617076,0.07301973590511619
bund_10y,0.8516906805226728,0.017912717569104914,,0.021402391094789665,0.3038043360141206,0.06260608744122068,0.004641290709111561,1.20692116784422e-07,0.6145847528239818,0.5067844420067769,4.488730222342957e-05,0.10400201916074696
disoccupazione_eurozona,0.1935331217123272,0.4078758010627559,0.8209723157231129,,1.1485811628138356e-07,0.2580255758740756,0.27311965817067124,0.05547207546543485,0.0008820868392392944,0.0010484742349425133,0.15116363575370828,0.11004642951694565
disoccupazione_italia,0.16848660021167358,0.4914876599601531,0.36462778285366176,2.3348550067171594e-06,,0.15549747761822041,0.3076483703401211,0.0616471857648131,0.0001283799999772308,4.1980287272566034e-05,0.7410047707749349,0.5774995952070564
inflazione_eurozona,0.5458555404592644,0.00018544152469130085,0.00046120729950633265,0.5505523731757783,0.6397440019845737,,1.2188130806951069e-09,0.0032031436712792135,0.3962330260300201,0.35516941371695415,0.00013010683928779066,0.27770896751533447
inflazione_italia,0.5639220408601804,0.011123739314237177,0.10221453843703057,0.21846127977805183,0.6794387585494931,3.69185533439433e-16,,0.0028744582170058884,0.9594235868167591,0.8591396713041467,0.0009052016834685577,0.12537861076395818
m3_eurozona,0.038114141937236785,0.323743449604091,0.454652708099325,0.005026275687457616,0.2105683009873174,0.11071052863791143,0.21364169565887997,,0.000501320651547042,0.0007446376279837135,0.12060488964105855,0.35945576591219175
pil_eurozona,0.3353226534607359,0.03368474873416146,0.20626519700544033,2.6671881396585503e-09,1.986871107203035e-07,0.09857707343445313,0.006419399862716137,0.599103252522768,,3.537821303975782e-17,0.5674548809201162,0.021369971492663186
pil_italia,0.5994110082430246,0.01211131927811474,0.07771770864225908,1.7252221186250163e-08,4.625262855113315e-07,0.009274626127045616,0.00017592961815254417,0.5700769250068765,5.144263037261054e-18,,0.24980201889894832,0.01961412325538745
tasso_bce,0.25406873171812233,0.1758854791891214,0.2909897034138269,0.21787895918846767,0.051596250401115325,0.07794137076481716,9.757136392393282e-10,0.009262597576963764,0.7750924442537381,0.9273862498868066,,0.8384149892220891
vix,0.042090134777715116,0.1128746402498295,0.23830302190595193,0.005268327863782368,0.0002670236291938148,0.12863427251146928,0.08847358486329208,0.0053617939543940734,0.0026960768972918324,0.0028962014103823016,0.024096057815471368,
