,tasso_bce,tasso_ottimale,deviazione
2009-01-01,1.0,,
2009-02-01,1.0,,
2009-03-01,0.5,,
2009-04-01,0.25,,
2009-05-01,0.25,,
2009-06-01,0.25,,
2009-07-01,0.25,,
2009-08-01,0.25,,
2009-09-01,0.25,,
2009-10-01,0.25,,
2009-11-01,0.25,,
2009-12-01,0.25,,
2010-01-01,0.25,2.2154607318164867,-1.9654607318164867
2010-02-01,0.25,1.9999892269097979,-1.7499892269097979
2010-03-01,0.25,3.054141214196205,-2.804141214196205
2010-04-01,0.25,3.538572110123755,-3.288572110123755
2010-05-01,0.25,3.5844969892842804,-3.3344969892842804
2010-06-01,0.25,3.229715549869809,-2.979715549869809
2010-07-01,0.25,3.7479339642983778,-3.4979339642983778
2010-08-01,0.25,3.4766104682939365,-3.2266104682939365
2010-09-01,0.25,3.8896169469679265,-3.6396169469679265
2010-10-01,0.25,4.241891999843225,-3.991891999843225
2010-11-01,0.25,4.1514590369654485,-3.9014590369654485
2010-12-01,0.25,4.560741906763916,-4.310741906763916
2011-01-01,0.25,5.155603352997307,-4.905603352997307
2011-02-01,0.25,5.29776386609121,-5.04776386609121
2011-03-01,0.25,5.6195673035529055,-5.3695673035529055
2011-04-01,0.5,5.8351509572613836,-5.3351509572613836
2011-05-01,0.5,5.637633246755603,-5.137633246755603
2011-06-01,0.5,5.593229706415245,-5.093229706415245
2011-07-01,0.75,5.371634506235196,-4.621634506235196
2011-08-01,0.75,5.325511408044277,-4.575511408044277
2011-09-01,0.75,5.95925803636754,-5.20925803636754
2011-10-01,0.75,5.884492368500291,-5.134492368500291
2011-11-01,0.5,5.848960318395376,-5.348960318395376
2011-12-01,0.25,5.424352606618911,-5.174352606618911
2012-01-01,0.25,5.161765004492673,-4.911765004492673
2012-02-01,0.25,5.262379862603483,-5.012379862603483
2012-03-01,0.25,5.1833859759623016,-4.9333859759623016
2012-04-01,0.25,4.836410220295656,-4.586410220295656
2012-05-01,0.25,4.611181005881654,-4.361181005881654
2012-06-01,0.25,4.507810477399137,-4.257810477399137
2012-07-01,0.0,4.498412777419897,-4.498412777419897
2012-08-01,0.0,4.811483129488374,-4.811483129488374
2012-09-01,0.0,4.797859102041299,-4.797859102041299
2012-10-01,0.0,4.403904991274066,-4.403904991274066
2012-11-01,0.0,3.9539980769074563,-3.9539980769074563
2012-12-01,0.0,3.9936123217465664,-3.9936123217465664
2013-01-01,0.0,3.4425333844731556,-3.4425333844731556
2013-02-01,0.0,3.234853769092962,-3.234853769092962
2013-03-01,0.0,3.045760674926756,-3.045760674926756
2013-04-01,0.0,2.5154046895029754,-2.5154046895029754
2013-05-01,0.0,2.8504690452809465,-2.8504690452809465
2013-06-01,0.0,3.1234309380489838,-3.1234309380489838
2013-07-01,0.0,3.218818072271962,-3.218818072271962
2013-08-01,0.0,2.8060410573056056,-2.8060410573056056
2013-09-01,0.0,2.38754699082889,-2.38754699082889
2013-10-01,0.0,1.9269422005112622,-1.9269422005112622
